"x","tax_revenue_pct_gdp","country","country_code_3"
"Angola","10.0903997421","Angola","AGO"
"Afghanistan","9.8984498978","Afghanistan","AFG"
"Tajikistan","9.8210201263","Tajikistan","TJK"
"Paraguay","9.7942495346","Paraguay","PRY"
"Guinea-Bissau","9.4620704651","Guinea-Bissau","GNB"
"Kazakhstan","9.4471101761","Kazakhstan","KAZ"
"Congo","9.1070804596","Congo","COG"
"Maldives","9.1006698608","Maldives","MDV"
"Pakistan","9.0968704224","Pakistan","PAK"
"Indonesia","9.094039917","Indonesia","IDN"
"Saudi Arabia","8.2374696732","Saudi Arabia","SAU"
"Central African Republic","8.2062902451","Central African Republic","CAF"
"China","8.0906295776","China","CHN"
"Panama","8.0461797714","Panama","PAN"
"Bangladesh","7.6423602104","Bangladesh","BGD"
"Sudan","7.3902702332","Sudan","SDN"
"Sri Lanka","7.3750300407","Sri Lanka","LKA"
"Iran","7.3584799767","Iran","IRN"
"Zimbabwe","7.2147698402","Zimbabwe","ZWE"
"Myanmar","6.4392700195","Myanmar","MMR"
"Micronesia","6.4263100624","Micronesia","FSM"
"Ethiopia","6.1963000298","Ethiopia","ETH"
"Lebanon","5.684800148","Lebanon","LBN"
"Equatorial Guinea","5.3715701103","Equatorial Guinea","GNQ"
"Bahrain","4.2168397903","Bahrain","BHR"
"Kuwait","1.4924399853","Kuwait","KWT"
"Iraq","1.3445899487","Iraq","IRQ"
"United Arab Emirates","0.5354459882","United Arab Emirates","ARE"
"Somalia","0.0000787151","Somalia","SOM"
