industry,companies,employees,revenues,assets,profits,debt
Insurance,22209,5015305,3921190000000.0,8532600000000.0,187348000000.0,619952000000.0
Insurance—Diversified,26,104872,121696000000.0,1457880000000.0,8486100000.0,55471100000.0
Insurance—Life,22,318317,282152000000.0,2323000000000.0,15562600000.0,83524600000.0
Insurance—Property & Casualty,27,327521,198408000000.0,712035000000.0,19033300000.0,55216700000.0
Insurance—Reinsurance,6,18679,85422600000.0,288406000000.0,2751180000.0,17138600000.0
Insurance—Specialty,9,3168,3144460000.0,62138200000.0,1354920000.0,11841300000.0
International Affairs,2014,471830,148581000000.0,880569000.0,15880100.0,155391000.0
International Trade And Development,6761,953772,350195000000.0,239753000000.0,9708590000.0,79601700000.0
Internet,42417,5281935,2546010000000.0,1804000000000.0,166787000000.0,454082000000.0
Investment Banking,3093,425347,229519000000.0,3540670000000.0,36645800000.0,1389370000000.0
Investment Management,9561,1060049,476426000000.0,1038600000000.0,59094600000.0,285084000000.0
Jewelry Stores,2,14,5300720.0,8710720.0,86252.2,0.0
Judiciary,985,66070,22229000000.0,,,
Law Enforcement,1867,228603,78217000000.0,3574160000.0,-48823200.0,1568990000.0
Law Practice,27578,1486347,410541000000.0,10504200000.0,276237000.0,4179070000.0
Legal Services,17929,795827,206116000000.0,2656150000.0,-79825000.0,1296510000.0
Legislative Office,125,31430,9238550000.0,49332900.0,125679.0,11096500.0
"Leisure, Travel & Tourism",20283,1848263,345887000000.0,232141000000.0,-14774700000.0,113847000000.0
Libraries,1495,59192,24853900000.0,,,
Logistics And Supply Chain,12944,3338447,951221000000.0,245609000000.0,20276000000.0,73020900000.0
Luxury Goods & Jewelry,4474,1207590,409063000000.0,400517000000.0,28761300000.0,119047000000.0
Machinery,18417,2653758,837215000000.0,604845000000.0,30699500000.0,214055000000.0
Management Consulting,45726,2559148,635833000000.0,46195000000.0,2809970000.0,17984100000.0
Maritime,6284,967481,457581000000.0,478874000000.0,64043100000.0,160072000000.0
Market Research,4746,265478,87177300000.0,1204980000.0,-31475600.0,333042000.0
Marketing And Advertising,88250,3145229,695020000000.0,259555000000.0,8860610000.0,83822500000.0
Mechanical Or Industrial Engineering,27608,4497753,1106440000000.0,664449000000.0,29571100000.0,155796000000.0
Media Production,17125,413790,146872000000.0,36738600000.0,4824910000.0,9383930000.0
Medical Devices,12311,2122057,570141000000.0,598653000000.0,34222500000.0,157959000000.0
Medical Practice,12934,470135,263880000000.0,3196140000.0,29342000.0,570420000.0
Mental Health Care,7951,418043,248389000000.0,518353000.0,-90568300.0,52396300.0
Military,1141,1633594,530015000000.0,68175000.0,444379.0,14290800.0
Mining & Metals,10169,5099552,2960910000000.0,2595840000000.0,229554000000.0,605143000000.0
Motion Pictures And Film,5994,115199,55816400000.0,2472620000.0,44883500.0,487509000.0
Museums And Institutions,3667,112570,65050100000.0,1092460000.0,-43964000.0,4623000.0
Music,13249,251674,126856000000.0,13014000000.0,574668000.0,4843330000.0
Nanotechnology,906,33095,17284900000.0,3712210000.0,-200019000.0,795400000.0
Newspapers,4034,346772,173221000000.0,6208770000.0,386768000.0,583131000.0
Non-Profit Organization Management,37763,1441831,2295050000000.0,7036370000.0,120284000.0,3255850000.0
Oil & Energy,22291,5610089,7783370000000.0,7389690000000.0,331778000000.0,1836190000000.0
Online Media,6826,181801,97895300000.0,29645400000.0,1677570000.0,7754750000.0
Outsourcing/Offshoring,3940,1885437,208417000000.0,25080100000.0,2160710000.0,7494630000.0
Package/Freight Delivery,904,308301,81000800000.0,302520000000.0,2002540000.0,96862400000.0
Packaging And Containers,5792,1094403,333934000000.0,242105000000.0,10859100000.0,88601400000.0
Paper & Forest Products,2099,797646,347499000000.0,254250000000.0,14665200000.0,83856900000.0
Performing Arts,5176,94898,39403900000.0,,,
Pharmaceuticals,11351,3813550,2269520000000.0,2138550000000.0,135367000000.0,629729000000.0
Philanthropy,3878,89930,34916700000.0,,,
Photography,7772,117611,44804700000.0,800389000.0,76697100.0,54205900.0
Plastics,6055,433809,147610000000.0,69213300000.0,5523530000.0,30234400000.0
Political Organization,1824,78338,28681100000.0,,,0.0
Primary/Secondary Education,9203,1216280,289781000000.0,48436200.0,239800.0,10486600.0
Printing,11454,473857,121335000000.0,27999600000.0,1189410000.0,4705710000.0
Professional Training & Coaching,20488,820095,200926000000.0,363356000.0,14472800.0,47704600.0
Program Development,3417,104564,24339400000.0,428953000.0,1087150.0,43046800.0
Public Policy,2426,443310,88550900000.0,478717000.0,33601700.0,38363300.0
Public Relations And Communications,11079,198290,110041000000.0,1022260000.0,-98221100.0,365879000.0
Public Safety,3231,278310,79229700000.0,6284730000.0,2771000.0,1963370000.0
Publishing,13503,565692,231595000000.0,37772400000.0,1409960000.0,5715180000.0
Railroad Manufacture,577,554866,137016000000.0,327652000000.0,4109500000.0,111551000000.0
Ranching,501,16196,4564960000.0,1211740000.0,670184.0,424756000.0
Real Estate,53629,4856013,1881100000000.0,15003100000000.0,554904000000.0,1468530000000.0
Real Estate—Development,195,485956,421495000000.0,1928270000000.0,26744200000.0,527918000000.0
Real Estate—Diversified,75,96743,48128600000.0,198047000000.0,3815060000.0,75435800000.0
Recreational Facilities And Services,3983,133917,32990500000.0,7035970000.0,142099000.0,3090470000.0
Reit—Diversified,64,11697,10065800000.0,140928000000.0,3719240000.0,65446900000.0
Reit—Healthcare Facilities,7,182,2008180000.0,12600900000.0,157631000.0,6319920000.0
Reit—Hotel & Motel,9,955,2130370000.0,20750400000.0,-471166000.0,12917200000.0
Reit—Industrial,22,3961,3867250000.0,58170800000.0,3216460000.0,21312300000.0
Reit—Mortgage,20,4568,2902450000.0,102784000000.0,1363060000.0,86094800000.0
Reit—Office,36,4035,6857080000.0,84900500000.0,1980430000.0,38814800000.0
Reit—Residential,23,7004,5572570000.0,55514800000.0,1424010000.0,24457200000.0
Reit—Retail,27,4006,6479880000.0,96823600000.0,2690960000.0,33944500000.0
Reit—Specialty,9,3031,2728790000.0,17190200000.0,483471000.0,18743900000.0
Religious Institutions,8142,220328,98929700000.0,,,
Renewables & Environment,14126,1540642,350279000000.0,372914000000.0,9074130000.0,125107000000.0
Research,12523,3451468,755760000000.0,148362000000.0,10361700000.0,44791200000.0
Restaurants,10563,3408768,380171000000.0,172872000000.0,12634600000.0,108074000000.0
Retail,29551,26278144,6340670000000.0,2014350000000.0,95483300000.0,743486000000.0
Security And Investigations,8690,2214430,271332000000.0,178818000000.0,4534330000.0,69146400000.0
Semiconductors,2505,1511944,655769000000.0,734120000000.0,78646600000.0,147471000000.0
Shell Companies,442,1351713,456635000000.0,719153000000.0,17314900000.0,264395000000.0
Shipbuilding,1152,189504,49678300000.0,60133000000.0,-1235310000.0,11128600000.0
Shipping,2076,270290,99358600000.0,69044000.0,-7862100.0,88308000.0
Software—Application,227,179728,24451400000.0,45214100000.0,-424187000.0,6021320000.0
Software—Infrastructure,90,107696,39157000000.0,84188400000.0,1500220000.0,28036200000.0
Sporting Goods,4501,1052363,367449000000.0,32254700000.0,3044020000.0,6912630000.0
Sports,19234,716466,261271000000.0,399878000000.0,3835600000.0,89436600000.0
Staffing And Recruiting,24619,2217483,799589000000.0,69720800000.0,5645860000.0,11777200000.0
Supermarkets,768,947956,287109000000.0,127479000000.0,-221127000.0,43169400000.0
Telecommunications,21796,7899579,2824210000000.0,4758820000000.0,160162000000.0,1836420000000.0
Textile Industrial,1,6,60767000.0,40213500.0,4379580.0,11234500.0
Textiles,7072,1300722,220623000000.0,171065000000.0,7074170000.0,58007800000.0
Think Tanks,2288,56056,19935100000.0,692052000.0,34767800.0,21323000.0
Tobacco,377,316227,114661000000.0,254959000000.0,21546000000.0,89895700000.0
Translation And Localization,3497,230817,69735700000.0,,,1138370.0
Transportation/Trucking/Railroad,16005,3851624,911293000000.0,667212000000.0,55137600000.0,257615000000.0
Utilities,5950,2061457,1825040000000.0,2202350000000.0,51894900000.0,907570000000.0
Utilities—Diversified,20,145883,152073000000.0,511491000000.0,6719340000.0,162012000000.0
Utilities—Independent Power Producers,27,115472,61992500000.0,235213000000.0,4647700000.0,120916000000.0
Utilities—Regulated Electric,51,176589,168105000000.0,611546000000.0,9053340000.0,256359000000.0
Utilities—Regulated Gas,45,262940,84646100000.0,140509000000.0,8037060000.0,42433100000.0
Utilities—Regulated Water,29,93115,24794000000.0,124665000000.0,3630430000.0,54012600000.0
Utilities—Renewable,77,154286,98144000000.0,406679000000.0,2349200000.0,178779000000.0
Venture Capital & Private Equity,5680,161366,57576800000.0,29689600000.0,2051510000.0,7754780000.0
Veterinary,4024,141190,33756400000.0,739293000.0,2003490.0,165838000.0
Warehousing,1594,71469,26678600000.0,17208200000.0,725785000.0,13664700000.0
Wholesale,14307,1260262,565197000000.0,1452840000000.0,17024300000.0,272944000000.0
Wine And Spirits,5362,376293,143903000000.0,133459000000.0,8197820000.0,43375200000.0
Wireless,1949,121301,89462000000.0,75172200000.0,9555390000.0,31470500000.0
Writing And Editing,3891,85047,38549800000.0,1465350000.0,30954400.0,592296000.0
